                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 1.0318,                0.83271,                 1.1938,                0.86135,                0.74737,                0.85202,                0.60221,                0.98775,                0.94172,                 1.1557,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.0607,                0.84599,                 1.2076,                0.86557,                0.77943,                0.87469,                0.60503,                 1.0637,                0.89356,                 1.2329,              0.0010694,              0.0010694,              0.0010694
                     50,                  1.027,                0.81602,                 1.1979,                0.84672,                0.80241,                0.86631,                0.59798,                 1.0557,                0.89069,                 1.2168,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.0185,                0.81612,                 1.1866,                 0.8678,                0.75314,                0.85135,                0.61067,                 1.0072,                0.91474,                 1.1838,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.0407,                0.84385,                  1.185,                0.85894,                0.78838,                0.87213,                0.62521,                0.98515,                0.88332,                 1.1699,                0.00101,                0.00101,                0.00101
                     53,                0.99679,                0.82129,                  1.177,                0.86043,                0.77895,                0.86532,                0.61708,                  1.021,                 0.9516,                 1.1907,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.0291,                0.79629,                 1.2057,                0.87725,                0.77263,                0.87228,                0.61085,                 1.0354,                0.82563,                 1.2044,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.0413,                0.81673,                 1.2016,                0.83648,                0.80768,                0.87086,                0.61667,                 1.0119,                0.87362,                 1.1887,              0.0009506,              0.0009506,              0.0009506
                     56,                0.99893,                0.80453,                 1.1698,                0.85204,                0.81263,                0.89231,                0.63728,                0.99065,                0.78518,                 1.1704,              0.0009308,              0.0009308,              0.0009308
                     57,                0.98492,                0.78312,                 1.1638,                0.84737,                0.80842,                0.88617,                0.62358,                 1.0205,                0.87032,                 1.1985,               0.000911,               0.000911,               0.000911
                     58,                 1.0051,                0.81464,                 1.1835,                0.87515,                0.74522,                0.86327,                0.61284,                  1.003,                0.89608,                 1.1709,              0.0008912,              0.0008912,              0.0008912
                     59,                0.96206,                 0.7502,                 1.1488,                0.82455,                0.78162,                0.86605,                0.61011,                 1.0299,                0.90029,                 1.2052,              0.0008714,              0.0008714,              0.0008714
                     60,                0.97957,                0.77779,                 1.1735,                0.80187,                0.79053,                0.84502,                0.56948,                 1.1278,                0.95565,                 1.2868,              0.0008516,              0.0008516,              0.0008516
                     61,                0.97052,                0.76211,                 1.1574,                0.88175,                0.80105,                0.88963,                 0.6342,                 1.0089,                0.79318,                 1.1904,              0.0008318,              0.0008318,              0.0008318
                     62,                 0.9647,                0.75829,                 1.1521,                0.81672,                0.82632,                0.88578,                0.63865,                 0.9587,                0.82351,                 1.1484,               0.000812,               0.000812,               0.000812
                     63,                0.95854,                0.74054,                 1.1587,                0.82594,                0.80316,                 0.8674,                0.60655,                 1.0286,                0.86279,                 1.2083,              0.0007922,              0.0007922,              0.0007922
                     64,                 0.9627,                0.73636,                 1.1499,                0.76533,                0.81684,                0.86268,                0.61274,                 1.0172,                  0.831,                 1.1741,              0.0007724,              0.0007724,              0.0007724
                     65,                0.96545,                0.75767,                 1.1498,                0.86438,                0.77822,                0.89237,                0.62317,                 1.0461,                0.78689,                 1.2496,              0.0007526,              0.0007526,              0.0007526
                     66,                0.94226,                0.73654,                 1.1419,                0.85827,                0.74583,                0.86789,                0.61356,                 1.0303,                0.86618,                 1.2051,              0.0007328,              0.0007328,              0.0007328
                     67,                0.92675,                0.71911,                 1.1222,                0.84058,                0.79789,                0.87859,                 0.6309,                 1.0135,                0.82936,                 1.1638,               0.000713,               0.000713,               0.000713
                     68,                0.93664,                0.71939,                 1.1338,                0.84938,                0.77789,                0.87346,                0.62222,                0.99309,                0.82543,                 1.1736,              0.0006932,              0.0006932,              0.0006932
